Name,Disc. Date,mmax,Host Name,R.A.,Dec.,Type
SN2017fgc,2017/07/11,13.5,NGC 474,"01:20:14.440,01:20:14.448","+03:24:09.96,+03:24:10.224",Ia
SN2003gd,2003/06/12,13.15,NGC 628,"01:36:42.65,01:36:42.648","+15:44:19.9,+15:44:20.04",II P
SN2003hl,2003/08/20,15.51,NGC 772,"01:59:21.28,01:59:21.288","+19:00:14.5,+19:00:14.4",II P
SN2003iq,2003/10/08,15.11,NGC 772,"01:59:19.96,01:59:19.968,01:59:19.92","+18:59:42.1,+18:59:42,+18:59:41.8",II P
SN2002gw,2002/10/13,16.67,NGC 922,"02:25:02.97,02:25:02.976","-24:47:50.6,-24:47:50.64",II P
SN2011jo,2011/12/22,16.3,NGC 10,00:08:34.57,-33:51:14.8,II P
SN1937D,1937/09/09,10.5,NGC 1003,"02:39:21.0,02:39:20.400,02:39:20.4,02:39:21.00","+40:52:20,+40:52:17.00,+40:52:17.0,+40:52:20.0",Ia
SN2009ig,2009/08/20,13,NGC 1015,"02:38:11.62,02:38:11.613,02:38:11.616,02:38:11.61","-01:18:45.3,-01:18:45.52,-01:18:45.252,-01:18:45.1",Ia
SN2009M,2009/01/20,17,NGC 1028,02:39:36.48,+10:50:27.9,
SN2005E,2005/01/13,16.8,NGC 1032,02:39:14.34,+01:05:55.0,Ib (Ca rich)
SN2010jc,2010/10/29,18.1,NGC 1033,"02:40:13.98,02:40:14.0,02:40:13.96,02:40:13.968","-08:46:27.1,-08:46:27,-08:46:26.6,-08:46:27.048",II P
SN1990E,1990/02/15,14.44,NGC 1035,"02:39:29.1,02:39:29.112,02:39:28.500,02:39:28.5,02:39:29.12","-08:08:14,-08:08:13.56,-08:08:04.00,-08:08:04.0,-08:08:14.6",II
SN1997cw,1997/07/10,15.95,NGC 105,"00:25:17.27,00:25:17.270","+12:53:06.2,+12:53:06.22",Ia
SN2007A,2007/01/02,15.64,NGC 105,"00:25:16.66,00:25:16.681,00:25:16.68","+12:53:12.5,+12:53:12.78,+12:53:12.48,+12:53:12.7",Ia
SN2011aq,2011/01/24,18,NGC 1056,"02:42:48.14,02:42:48.13","+28:34:25.8,+28:34:25.7",II
SN2007gr,2007/08/15,11.62,NGC 1058,02:43:27.98,+37:20:44.7,Ic
SN1969L,1969/12/02,12.55,NGC 1058,"02:43:45,02:43:45.300,02:43:45.3,02:43:46.05","+37:18.7,+37:18:39.00,+37:18:39.0,+37:18:37.8",II
SN1961V,1961/12/05,12.2,NGC 1058,"02:43:36.42,02:43:24.000,02:43:24.00","+37:20:43.6,+37:20:43.58,+37:21:00.00,+37:21:00.0",II Pec?
SN2004fd,2004/10/21,15,NGC 1060,02:43:15.25,+32:25:25.6,Ia
SN2017gjn,2017/08/24,14.87,NGC 1067,"02:43:48.410,02:43:48.432","+32:31:33.70,+32:31:33.96",Ia
SN2008ie,2008/12/15,16.4,NGC 1070,02:43:20.80,+04:58:19.1,IIb
SN2004I,2004/01/18,17.1,NGC 1072,"02:43:31.23,02:43:31.224","+00:18:30.7,+00:18:30.6",II
SN1962L,1962/11/23,13.28,NGC 1073,"02:43:40,02:43:42.700,02:43:42.7,02:43:40.94","+01:23.9,+01:23:52.00,+01:23:52.0,+01:23:49.7",Ic
SN2018jpn,2018/12/04,16.85,NGC 1078,"02:44:08.213,02:44:08.208,02:44:08.21","-09:27:06.01,-09:27:05.94,-09:27:05.9",Ia
SN2009I,2009/01/13,16.4,NGC 1080,02:45:10.40,-04:42:49.4,Ia
SN2014fm,2014/10/24,18,NGC 1082,02:45:41.38,-08:12:30.1,Ia
SNnearNGC1082,2014/10/27,,NGC 1082,02:45:41.38,-08:12:30.1,Ia
SN2012ec,2012/08/11,13.59,NGC 1084,"02:45:59.89,02:45:59.87","-07:34:25.0,-07:34:24.1",II P
SN1963P,1963/09/18,14.05,NGC 1084,"02:46:02.10,02:46:02.112,02:46:02.12,02:46:02.100","-07:34:50.4,-07:34:50.52,-07:34:50.5,-07:34:50.48",Ia
SN1996an,1996/07/27,13.99,NGC 1084,"02:46:00.83,02:46:00.84,02:46:00.830","-07:34:20.3,-07:34:20.28,-07:34:20.32",II
SN2009H,2009/01/02,12.54,NGC 1084,02:45:58.36,-07:35:00.3,II
